Offset(P)  Name                    PID pslist psscan thrdproc pspcid csrss session deskthrd ExitTime
---------- -------------------- ------ ------ ------ -------- ------ ----- ------- -------- --------
0x06015020 services.exe            676 True   True   True     True   True  True    True     
0x063c5560 svchost.exe             936 True   True   True     True   True  True    True     
0x06499b80 svchost.exe            1148 True   True   True     True   True  True    True     
0x04c2b310 wscntfy.exe             888 True   True   True     True   True  True    True     
0x049c15f8 TPAutoConnect.e        1084 True   True   True     True   True  True    True     
0x05f027e0 alg.exe                 216 True   True   True     True   True  True    True     
0x05f47020 lsass.exe               688 True   True   True     True   True  True    True     
0x010f7588 wuauclt.exe             468 True   True   True     True   True  True    True     
0x01122910 svchost.exe            1028 True   True   True     True   True  True    True     
0x069d5b28 vmtoolsd.exe           1668 True   True   True     True   True  True    True     
0x06384230 vmacthlp.exe            844 True   True   True     True   True  True    True     
0x0115b8d8 svchost.exe             856 True   True   True     True   True  True    True     
0x04b5a980 VMwareUser.exe          452 True   True   True     True   True  True    True     
0x010c3da0 wuauclt.exe            1732 True   True   True     True   True  True    True     
0x04a065d0 explorer.exe           1724 True   True   True     True   True  True    True     
0x04be97e8 VMwareTray.exe          432 True   True   True     True   True  True    True     
0x0211ab28 TPAutoConnSvc.e        1968 True   True   True     True   True  True    True     
0x06945da0 spoolsv.exe            1432 True   True   True     True   True  True    True     
0x066f0978 winlogon.exe            632 True   True   True     True   True  True    True     
0x0655fc88 VMUpgradeHelper        1788 True   True   True     True   True  True    True     
0x061ef558 svchost.exe            1088 True   True   True     True   True  True    True     
0x06238020 cmd.exe                 124 True   True   False    True   False False   False    2010-08-15 19:17:56 UTC+0000
0x066f0da0 csrss.exe               608 True   True   True     True   False True    True     
0x05471020 smss.exe                544 True   True   True     True   False False   False    
0x01214660 System                    4 True   True   True     True   False False   False    
0x069a7328 VMip.exe               1944 False  True   False    False  False False   False    2010-08-15 19:17:56 UTC+0000
